,Shorthand,DOI,Authors,Journal,Title,Date,bioRxiv DOI,Reported cells total,Organism,Tissue,Technique,Data location,Panel size,Measurement,Cell source,Disease,Contrasts,Developmental stage,Number of reported cell types or clusters,Cell clustering,Pseudotime,RNA Velocity,PCA,tSNE,H5AD location,Isolation,BC --> Cell ID _OR_ BC --> Cluster ID,Number individuals,date,year,month,day,cells_per_donor
56,Nirschl et al Cell,10.1016/j.cell.2017.06.016,"Christopher J. Nirschl, Mayte Suárez-Fariñas, Benjamin Izar, Sanjay Prakadan, Ruth Dannenfelser, Itay Tirosh, Yong Liu, Qian Zhu, K. Sanjana P. Devi, Shaina L. Carroll, David Chau, Melika Rezaee, Tae-Gyun Kim, Ruiqi Huang, Judilyn Fuentes-Duculan, George X. Song-Zhao, Nicholas Gulati, Michelle A. Lowes, Sandra L. King, Francisco J. Quintana, Young-suk Lee, James G. Krueger, Kavita Y. Sarin, Charles H. Yoon, Levi Garraway, Aviv Regev, Alex K. Shalek, Olga Troyanskaya, Niroshana Anandasabapathy",Cell,IFNγ-Dependent Tissue-Immune Homeostasis Is Co-opted in the Tumor Microenvironment,20170629,-,333.0,Human,"Lymp node, Tumor",Smart-seq2,GSE100337,,RNA-seq,DCs,,,,,,,,,,,,,1.0,2017-06-29,2017,6,29,333.0
57,Theurich et al CMetabolism,10.1016/j.cmet.2017.05.018,"Sebastian Theurich, Eva Tsaousidou, Ruth Hanssen, Adelheid M. Lempradl, Jan Mauer, Katharina Timper, Katharina Schilbach, Kat Folz-Donahue, Christian Heilinger, Veronika Sexl, John Andrew Pospisilik, F. Thomas Wunderlich, Jens C. Brüning",Cell Metabolism,"IL-6/Stat3-Dependent Induction of a Distinct, Obesity-Associated NK Cell Subpopulation Deteriorates Energy and Glucose Homeostasis",20170705,-,63.0,"Human, Mouse",Blood,CEL-seq2,GSE99068,,RNA-seq,PBMC,,Obese vs Lean,,,,,,,,,,,,2017-07-05,2017,7,5,
58,Wang et al CCell,10.1016/j.ccell.2017.06.003,"Qianghu Wang, Baoli Hu, Xin Hu, Hoon Kim, Massimo Squatrito, Lisa Scarpace, Ana C. deCarvalho, Sali Lyu, Pengping Li, Yan Li, Floris Barthel, Hee Jin Cho, Yu-Hsi Lin, Nikunj Satani, Emmanuel Martinez-Ledesma, Siyuan Zheng, Edward Chang, Charles-Etienne Gabriel Sauvé, Adriana Olar, Zheng D. Lan, Gaetano Finocchiaro, Joanna J. Phillips, Mitchel S. Berger, Konrad R. Gabrusiewicz, Guocan Wang, Eskil Eskilsson, Jian Hu, Tom Mikkelsen, Ronald A. DePinho, Florian Muller, Amy B. Heimberger, Erik P. Sulman, Do-Hyun Nam, Roel G.W. Verhaak",Cancer Cell,Tumor Evolution of Glioma-Intrinsic Gene Expression Subtypes Associates with Immunological Changes in the Microenvironment,20170710,,133.0,Human,Brain,SMARTer (C1),,,RNA-seq,Glioblastoma,,,,,,,,,,,,,1.0,2017-07-10,2017,7,10,133.0
59,Moussy et al PLoSBiology,10.1371/journal.pbio.2001867,"Alice Moussy, Jérémie Cosette, Romuald Parmentier, Cindy da Silva, Guillaume Corre, Angélique Richard, Olivier Gandrillon, Daniel Stockholm, András Páldi",PLoS Biol,Integrated time-lapse and single-cell transcription studies highlight the variable and dynamic nature of human hematopoietic cell fate commitment,20170727,,435.0,Human,Blood,,,,qPCR,Cord blood-derived CD34+ differentiation,,"hours 0, 24, 48, 72, 96",,,,,,,,,,,,2017-07-27,2017,7,27,
60,Stoeckius et al NMethods,10.1038/nmeth.4380,"Marlon Stoeckius, Christoph Hafemeister, William Stephenson, Brian Houck-Loomis, Pratip K Chattopadhyay, Harold Swerdlow, Rahul Satija, Peter Smibert",Nat Methods,Simultaneous epitope and transcriptome measurement in single cells,20170731,,8005.0,"Human, Mouse","Culture, Blood",CITE-seq,GSE100866,,RNA-seq,Cord blood mononuclear cells,,,,,,,,,,,,,,2017-07-31,2017,7,31,
61,Habib et al NMeth,10.1038/nmeth.4407,"Naomi Habib, Inbal Avraham-Davidi, Anindita Basu, Tyler Burks, Karthik Shekhar, Matan Hofree, Sourav R Choudhury, François Aguet, Ellen Gelfand, Kristin Ardlie, David A Weitz, Orit Rozenblatt-Rosen, Feng Zhang, Aviv Regev",Nat Methods,Massively parallel single-nucleus RNA-seq with DroNc-seq,20170828,10.1101/115196,39111.0,"Mouse, Human",Brain,DroNc-seq,SCP90,,RNA-seq,Prefrontal cortex and hippocampus,,,Adult,21,,,,,Yes,,,,5.0,2017-08-28,2017,8,28,7822.2
62,Peterson et al NBT,10.1038/nbt.3973,"Vanessa M Peterson, Kelvin Xi Zhang, Namit Kumar, Jerelyn Wong, Lixia Li, Douglas C Wilson, Renee Moore, Terrill K McClanahan, Svetlana Sadekova, Joel A Klappenbach",Nat Biotechnol,Multiplexed quantification of proteins and transcripts in single cells,20170830,-,19111.0,Human,Blood,REAP-seq,GSE100501,,RNA-seq,CD8 lymphocytes,,,,,Yes,,,,Yes,,,,3.0,2017-08-30,2017,8,30,6370.333333333333
63,Enge et al Cell,10.1016/j.cell.2017.09.004,"Martin Enge, H. Efsun Arda, Marco Mignardi, John Beausang, Rita Bottino, Seung K. Kim, Stephen R. Quake",Cell,Single-Cell Analysis of Human Pancreas Reveals Transcriptional Signatures of Aging and Somatic Mutation Patterns,20170929,,2000.0,Human,Pancreas,Smart-seq2,GSE81547,,RNA-seq,,,,"1 month, 5-6 years, 21-22 years, 38 years, 44 years, 54 years",,,,,,,,,,8.0,2017-09-29,2017,9,29,250.0
64,Rizzetto et al SReports,10.1038/s41598-017-12989-x,"Simone Rizzetto, Auda A. Eltahla, Peijie Lin, Rowena Bull, Andrew R. Lloyd, Joshua W. K. Ho, Vanessa Venturi, Fabio Luciani",Sci Rep,Impact of sequencing depth and read length on single cell RNA sequencing data of T cells,20171002,10.1101/134130,72.0,Human,Blood,Smart-seq2,E-MTAB-4850,,RNA-seq,T cells,,,,,,,,,,,,,,2017-10-02,2017,10,2,
65,Guo et al CSC,10.1016/j.stem.2017.09.003,"Jingtao Guo, Edward J. Grow, Chongil Yi, Hana Mlcochova, Geoffrey J. Maher, Cecilia Lindskog, Patrick J. Murphy, Candice L. Wike, Douglas T. Carrell, Anne Goriely, James M. Hotaling, Bradley R. Cairns",Cell Stem Cell,Chromatin and Single-Cell RNA-Seq Profiling Reveal Dynamic Signaling and Metabolic Transitions during Human Spermatogonial Stem Cell Development,20171011,-,175.0,Human,Testis,SMARTer (C1),GSE92280,,RNA-seq,Spermatogonial stem cells,,,,4,,,,,,,,,5.0,2017-10-11,2017,10,11,35.0
66,Darmanis et al CReports,10.1016/j.celrep.2017.10.030,"Spyros Darmanis, Steven A. Sloan, Derek Croote, Marco Mignardi, Sophia Chernikova, Peyman Samghababi, Ye Zhang, Norma Neff, Mark Kowarsky, Christine Caneda, Gordon Li, Steven D. Chang, Ian David Connolly, Yingmei Li, Ben A. Barres, Melanie Hayden Gephart, Stephen R. Quake",Cell Reports,Single-Cell RNA-Seq Analysis of Infiltrating Neoplastic Cells at the Migrating Front of Human Glioblastoma,20171031,,3589.0,Human,Brain,Smart-seq2,GSE84465,,RNA-seq,Glioblastoma,Glioblastoma,Tumor vs non-Tumor,,,,,,,Yes,,,,4.0,2017-10-31,2017,10,31,897.25
67,Hochgarner et al SRep,10.1038/s41598-017-16546-4,"Hannah Hochgerner, Peter Lönnerberg, Rebecca Hodge, Jaromir Mikes, Abeer Heskol, Hermann Hubschle, Philip Lin, Simone Picelli, Gioele La Manno, Michael Ratz, Jude Dunne, Syed Husain, Ed Lein, Maithreyan Srinivasan, Amit Zeisel, Sten Linnarsson",Sci Rep,STRT-seq-2i: dual-index 5ʹ single cell and nucleus RNA-seq on an addressable microwell array,20171121,10.1101/126268,4220.0,"Human, Mouse",Brain,STRT-seq-2i,GSE101601,,RNA-seq,Somatosensory cortex,,,,28,,,,,,,,,,2017-11-21,2017,11,21,
68,Karamitros et al NImmunology,10.1038/s41590-017-0001-2,"Dimitris Karamitros, Bilyana Stoilova, Zahra Aboukhalil, Fiona Hamey, Andreas Reinisch, Marina Samitsch, Lynn Quek, Georg Otto, Emmanouela Repapi, Jessica Doondeea, Batchimeg Usukhbayar, Julien Calvo, Stephen Taylor, Nicolas Goardon, Emmanuelle Six, Francoise Pflumio, Catherine Porcher, Ravindra Majeti, Berthold Göttgens, Paresh Vyas",Nat Immunol,Single-cell analysis reveals the continuum of human lympho-myeloid progenitor cells,20171121,-,420.0,Human,,Smart-seq2,GSE100618,,RNA-seq,lympho-myeloid progenitors,,,,,,,,,,,,,2.0,2017-11-21,2017,11,21,210.0
69,Puram et al Cell,10.1016/j.cell.2017.10.044,"Sidharth V. Puram, Itay Tirosh, Anuraag S. Parikh, Anoop P. Patel, Keren Yizhak, Shawn Gillespie, Christopher Rodman, Christina L. Luo, Edmund A. Mroz, Kevin S. Emerick, Daniel G. Deschler, Mark A. Varvares, Ravi Mylvaganam, Orit Rozenblatt-Rosen, James W. Rocco, William C. Faquin, Derrick T. Lin, Aviv Regev, Bradley E. Bernstein",Cell,Single-Cell Transcriptomic Analysis of Primary and Metastatic Tumor Ecosystems in Head and Neck Cancer,20171130,-,5902.0,Human,,Smart-seq2,GSE103322,,RNA-seq,head and neck cancer,,,,14,Yes,,,,,,,,18.0,2017-11-30,2017,11,30,327.8888888888889
70,Nowakowski et al Science,10.1126/science.aap8809,"Tomasz J. Nowakowski, Aparna Bhaduri, Alex A. Pollen, Beatriz Alvarado, Mohammed A. Mostajo-Radji, Elizabeth Di Lullo, Maximilian Haeussler, Carmen Sandoval-Espinosa, Siyuan John Liu, Dmitry Velmeshev, Johain Ryad Ounadjela, Joe Shuga, Xiaohui Wang, Daniel A. Lim, Jay A. West, Anne A. Leyrat, W. James Kent, Arnold R. Kriegstein",Science,Spatiotemporal gene expression trajectories reveal developmental hierarchies of the human cortex,20171207,-,4261.0,Human,Brain,SMARTer (C1),phs000989.v3,,RNA-seq,Prefrontal and visual cortex,,,"PCW5.85, PCW7, PCW8, PCW9, PCW11, PCW13 - PCW23, PCW32, PCW37",47,Yes,,,,Yes,,,,48.0,2017-12-07,2017,12,7,88.77083333333333
71,Lake et al NBT,10.1038/nbt.4038,"Blue B Lake, Song Chen, Brandon C Sos, Jean Fan, Gwendolyn E Kaeser, Yun C Yung, Thu E Duong, Derek Gao, Jerold Chun, Peter V Kharchenko, Kun Zhang",Nat Biotechnol,Integrative single-cell analysis of transcriptional and epigenetic states in the human adult brain,20171211,10.1101/128520,36166.0,Human,Brain,snDrop-seq,GSE97930,,RNA-seq,"Visual cortex, frontal cortex, and cerebellum",,,Adult,35,Yes,Yes,No,Yes,Yes,,,,6.0,2017-12-11,2017,12,11,6027.666666666667
72,Kang et al NBT,10.1038/nbt.4042,"Hyun Min Kang, Meena Subramaniam, Sasha Targ, Michelle Nguyen, Lenka Maliskova, Elizabeth McCarthy, Eunice Wan, Simon Wong, Lauren Byrnes, Cristina M Lanata, Rachel E Gate, Sara Mostafavi, Alexander Marson, Noah Zaitlen, Lindsey A Criswell, Chun Jimmie Ye",Nat Biotechnol,Multiplexed droplet single-cell RNA-sequencing using natural genetic variation,20171211,10.1101/118778,43095.0,Human,Blood,Chromium,GSE96583,,RNA-seq,PBMCs,,IFN-beta stimulation vs control,,,,,,,,,,,8.0,2017-12-11,2017,12,11,5386.875
73,Müller et al GBiology,10.1186/s13059-017-1362-4,"Sören Müller, Gary Kohanbash, S. John Liu, Beatriz Alvarado, Diego Carrera, Aparna Bhaduri, Payal B. Watchmaker, Garima Yagnik, Elizabeth Di Lullo, Martina Malatesta, Nduka M. Amankulor, Arnold R. Kriegstein, Daniel A. Lim, Manish Aghi, Hideho Okada, Aaron Diaz",Genome Biol,Single-cell profiling of human gliomas reveals macrophage ontogeny as a basis for regional differences in macrophage activation in the tumor microenvironment,20171220,,768.0,Human,"Brain, Tumor",SMARTer (C1),EGAS00001002185,,RNA-seq,Primary glioma,,,,,,,,,,,,,19.0,2017-12-20,2017,12,20,40.421052631578945
74,Sivakamasundari et al bioRxiv,10.1101/238063,"V Sivakamasundari, Mohan Bolisetty, Santhosh Sivajothi, Shannon Bessonett, Diane Ruan, Paul Robson",bioRxiv,Comprehensive Cell Type Specific Transcriptomics of the Human Kidney,20171223,10.1101/238063,22469.0,Human,Kidney,Chromium,SRP126175,,RNA-seq,,,,,27,,,,,,,,,3.0,2017-12-23,2017,12,23,7489.666666666667
75,Martin-Gayo et al GBiology,10.1186/s13059-017-1385-x,"Enrique Martin-Gayo, Michael B. Cole, Kellie E. Kolb, Zhengyu Ouyang, Jacqueline Cronin, Samuel W. Kazer, Jose Ordovas-Montanes, Mathias Lichterfeld, Bruce D. Walker, Nir Yosef, Alex K. Shalek, Xu G. Yu",Genome Biol,"A Reproducibility-Based Computational Framework Identifies an Inducible, Enhanced Antiviral State in Dendritic Cells from HIV-1 Elite Controllers",20180129,-,420.0,Human,,SMARTer,GSE108445,,RNA-seq,,,,,,,,,,,,,,3.0,2018-01-29,2018,1,29,140.0
76,Zemmour et al NImmunology,10.1038/s41590-018-0051-0,"David Zemmour, Rapolas Zilionis, Evgeny Kiner, Allon M. Klein, Diane Mathis, Christophe Benoist",Nat Immunol,Single-cell gene expression reveals a landscape of regulatory T cell phenotypes shaped by the TCR,20180208,-,3801.0,"Human, Mouse",,inDrops & Chromium & CEL-seq,GSE110547,,RNA-seq,,,,,9,,,,,,,,,2.0,2018-02-08,2018,2,8,1900.5
77,Torre et al CSystems,10.1016/j.cels.2018.01.014,"Eduardo Torre, Hannah Dueck, Sydney Shaffer, Janko Gospocic, Rohit Gupte, Roberto Bonasio, Junhyong Kim, John Murray, Arjun Raj",Cell Systems,Rare Cell Detection by Single-Cell RNA Sequencing as Guided by Single-Molecule RNA FISH,20180214,10.1101/138289,8498.0,"Human, Mouse",Tumor,Drop-seq & SMARTer (C1),GSE99330,,RNA-seq,Melanoma,,,,,,,,,,,,,,2018-02-14,2018,2,14,
78,Lindstrom et al JASN,10.1681/ASN.2017080890,"Nils O. Lindström, Jinjin Guo, Albert D. Kim, Tracy Tran, Qiuyu Guo, Guilherme De Sena Brandine, Andrew Ransick, Riana K. Parvez, Matthew E. Thornton, Laurence Basking, Brendan Grubbs, Jill A. McMahon, Andrew D. Smith, Andrew P. McMahon",JASN,Conserved and Divergent Features of Mesenchymal Progenitor Cell Types within the Cortical Nephrogenic Niche of the Human and Mouse Kidney,20180215,-,2750.0,Human,Kidney,Chromium,GSE102596,,RNA-seq,Nephronic cortex,,,,12,Yes,No,No,Yes,Yes,,,,1.0,2018-02-15,2018,2,15,2750.0
79,Russel et al eLife,10.7554/eLife.32303,"Alistair B Russell, Cole Trapnell, Jesse D Bloom",eLife,Extreme heterogeneity of influenza virus infection in single cells,20180216,10.1101/193995,16754.0,Human,,Chromium,,,RNA-seq,,,,,,No,No,No,No,Yes,,,,,2018-02-16,2018,2,16,
80,Mizoguchi et al NCommunications,10.1038/s41467-018-02892-y,"Fumitaka Mizoguchi, Kamil Slowikowski, Kevin Wei, Jennifer L. Marshall, Deepak A. Rao, Sook Kyung Chang, Hung N. Nguyen, Erika H. Noss, Jason D. Turner, Brandon E. Earp, Philip E. Blazar, John Wright, Barry P. Simmons, Laura T. Donlin, George D. Kalliolias, Susan M. Goodman, Vivian P. Bykerk, Lionel B. Ivashkiv, James A. Lederer, Nir Hacohen, Peter A. Nigrovic, Andrew Filer, Christopher D. Buckley, Soumya Raychaudhuri, Michael B. Brenner",Nat Commun,Functionally distinct disease-associated fibroblast subsets in rheumatoid arthritis,20180219,,384.0,Human,Synovial tissue,Smart-seq2,GSE109450,,RNA-seq,Fibroblasts,"Osteoarthritis, Rheumatoid arthritis",OA vs RA,,,,,,,,,,,4.0,2018-02-19,2018,2,19,96.0
81,Stephenson et al NCommunications,10.1038/s41467-017-02659-x,"William Stephenson, Laura T. Donlin, Andrew Butler, Cristina Rozo, Bernadette Bracken, Ali Rashidfarrokhi, Susan M. Goodman, Lionel B. Ivashkiv, Vivian P. Bykerk, Dana E. Orange, Robert B. Darnell, Harold P. Swerdlow, Rahul Satija",Nat Commun,Single-cell RNA-seq of rheumatoid arthritis synovial tissue using low-cost microfluidic instrumentation,20180219,10.1101/140848,20387.0,Human,Synovial tissue,Minidrops,phs001529.v1.p1,,RNA-seq,Synovial tissue of 5 RA patients,Rheumatoid arthritis,,,13,Yes,,,Yes,Yes,,,,5.0,2018-02-19,2018,2,19,4077.4
82,Wu et al BioRxiv,10.1101/267849,"Bingbing Wu, Yu Li, Yanshan Liu, Kaixiu Jin, Kun Zhao, Chengrui An, Qikai Li, Lin Gong, Wei Zhao, Jinghui Hu, Jianhua Qian, HongWei Ouyang, XiaoHui Zou",bioRxiv,Cell atlas of human uterus,20180220,10.1101/267849,2735.0,Human,Uterus,Chromium,,,RNA-seq,Human uterus,,,,32,Yes,,No,Yes,Yes,,,,1.0,2018-02-20,2018,2,20,2735.0
83,Zhong et al Nature,10.1038/nature25980,"Suijuan Zhong, Shu Zhang, Xiaoying Fan, Qian Wu, Liying Yan, Ji Dong, Haofeng Zhang, Long Li, Le Sun, Na Pan, Xiaohui Xu, Fuchou Tang, Jun Zhang, Jie Qiao, Xiaoqun Wang",Nature,A single-cell RNA-seq survey of the developmental landscape of the human prefrontal cortex,20180313,-,2394.0,Human,Brain,Smart-seq2,GSE104276,,RNA-seq,Developing prefrontal cortex,,,"GW8 - GW10, GW12, GW13, GW16, GW19, GW23, GW26",35,Yes,Yes,No,No,Yes,,Manual with mouth pipette,,12.0,2018-03-13,2018,3,13,199.5
84,Colacino et al SReports,10.1016/j.stemcr.2018.03.001,"Justin A. Colacino, Ebrahim Azizi, Michael D. Brooks, Ramdane Harouaka, Shamileh Fouladdel, Sean P. McDermott, Michael Lee, David Hill, Julie Madden, Julie Boerner, Michele L. Cote, Maureen A. Sartor, Laura S. Rozek, Max S. Wicha",Stem Cell Reports,Heterogeneity of Human Breast Stem and Progenitor Cells as Revealed by Transcriptional Profiling,20180329,-,105.0,Human,Tumor,SMARTer (C1),,,RNA-seq,Breast cancer,,,,,,,,,,,,,3.0,2018-03-29,2018,3,29,35.0
85,van der Wijst et al NGenetics,10.1038/s41588-018-0089-9,"Monique G. P. van der Wijst, LifeLines Cohort Study, Harm Brugge, Dylan H. de Vries, Patrick Deelen, Morris A. Swertz, Lude Franke, BIOS Consortium",Nat Genet,Single-cell RNA sequencing identifies celltype-specific cis-eQTLs and co-expression QTLs,20180329,10.1101/177568,28855.0,Human,Blood,Chromium,EGAS00001002560,,RNA-seq,PBMCs,,45 donors with different genotypes,,11,,,,,,,Nanodroplet dilution,,45.0,2018-03-29,2018,3,29,641.2222222222222
86,Rizzetto et al Bioinformatics,10.1093/bioinformatics/bty203,"Simone Rizzetto, David N P Koppstein, Jerome Samir, Mandeep Singh, Joanne H Reed, Curtis H Cai, Andrew R Lloyd, Auda A Eltahla, Christopher C Goodnow, Fabio Luciani",Bioinformatics,B-cell receptor reconstruction from single-cell RNA-seq with VDJPuzzle,20180404,10.1101/181156,117.0,Human,,Smart-seq2,E-MTAB-6386,,RNA-seq,B cells,,,,1,No,No,No,No,No,,,,1.0,2018-04-04,2018,4,4,117.0
87,Buenrostro et al Cell,10.1016/j.cell.2018.03.074,"Jason D. Buenrostro, M. Ryan Corces, Caleb A. Lareau, Beijing Wu, Alicia N. Schep, Martin J. Aryee, Ravindra Majeti, Howard Y. Chang, William J. Greenleaf",Cell,Integrated Single-Cell Analysis Maps the Continuous Regulatory Landscape of Human Hematopoietic Differentiation,20180426,-,7818.0,Human,,Chromium,,,RNA-seq,,,,,14,,,,,,,,,6.0,2018-04-26,2018,4,26,1303.0
88,Zirkel et al MCell,10.1016/j.molcel.2018.03.030,"Anne Zirkel, Milos Nikolic, Konstantinos Sofiadis, Jan-Philipp Mallm, Chris A. Brackley, Henrike Gothe, Oliver Drechsel, Christian Becker, Janine Altmüller, Natasa Josipovic, Theodore Georgomanolis, Lilija Brant, Julia Franzen, Mirjam Koker, Eduardo G. Gusmao, Ivan G. Costa, Roland T. Ullrich, Wolfgang Wagner, Vassilis Roukos, Peter Nürnberg, Davide Marenduzzo, Karsten Rippe, Argyris Papantonis",Molecular Cell,HMGB2 Loss upon Senescence Entry Disrupts Genomic Organization and Induces CTCF Clustering across Cell Types,20180426,-,13602.0,Human,Umbilical vein,Chromium,GSE102090,,RNA-seq,Umbilical vein endothelial cells,,,,4,Yes,Yes,No,Yes,Yes,,,,2.0,2018-04-26,2018,4,26,6801.0
89,Filbin et al Science,10.1126/science.aao4750,"Mariella G. Filbin, Itay Tirosh, Volker Hovestadt, McKenzie L. Shaw, Leah E. Escalante, Nathan D. Mathewson, Cyril Neftel, Nelli Frank, Kristine Pelton, Christine M. Hebert, Christine Haberler, Keren Yizhak, Johannes Gojo, Kristof Egervari, Christopher Mount, Peter van Galen, Dennis M. Bonal, Quang-De Nguyen, Alexander Beck, Claire Sinai, Thomas Czech, Christian Dorfer, Liliana Goumnerova, Cinzia Lavarino, Angel M. Carcaboso, Jaume Mora, Ravindra Mylvaganam, Christina C. Luo, Andreas Peyrl, Mara Popović, Amedeo Azizi, Tracy T. Batchelor, Matthew P. Frosch, Maria Martinez-Lage, Mark W. Kieran, Pratiti Bandopadhayay, Rameen Beroukhim, Gerhard Fritsch, Gad Getz, Orit Rozenblatt-Rosen, Kai W. Wucherpfennig, David N. Louis, Michelle Monje, Irene Slavc, Keith L. Ligon, Todd R. Golub, Aviv Regev, Bradley E. Bernstein, Mario L. Suvà",Science,Developmental and oncogenic programs in H3K27M gliomas dissected by single-cell RNA-seq,20180507,,3321.0,Human,Brain,Smart-seq2,GSE102130,,RNA-seq,H3K27M glioma,,,,,,,,,Yes,,,,6.0,2018-05-07,2018,5,7,553.5
90,Norelli et al NMedicine,10.1038/s41591-018-0036-4,"Margherita Norelli, Barbara Camisa, Giulia Barbiera, Laura Falcone, Ayurzana Purevdorj, Marco Genua, Francesca Sanvito, Maurilio Ponzoni, Claudio Doglioni, Patrizia Cristofori, Catia Traversari, Claudio Bordignon, Fabio Ciceri, Renato Ostuni, Chiara Bonini, Monica Casucci, Attilio Bondanza",Nat Med,Monocyte-derived IL-1 and IL-6 are differentially required for cytokine-release syndrome and neurotoxicity due to CAR T cells,20180524,-,6511.0,Human,,Chromium,E-MTAB-6505,,RNA-seq,CD45+ leukocytes,,,,12,Yes,No,No,Yes,Yes,,,,,2018-05-24,2018,5,24,
91,Chen et al GB,10.1186/s13059-018-1438-9,"Wenan Chen, Yan Li, John Easton, David Finkelstein, Gang Wu, Xiang Chen",Genome Biol,UMI-count modeling and differential expression analysis for single-cell RNA sequencing,20180531,-,6875.0,Human,,Chromium,GSE113660,,RNA-seq,alveolar rhabdomyosarcoma,,,,,,,,,,,,,,2018-05-31,2018,5,31,
92,Fan et al CResearch,10.1038/s41422-018-0053-3,"Xiaoying Fan, Ji Dong, Suijuan Zhong, Yuan Wei, Qian Wu, Liying Yan, Jun Yong, Le Sun, Xiaoye Wang, Yangyu Zhao, Wei Wang, Jie Yan, Xiaoqun Wang, Jie Qiao, Fuchou Tang",Cell Res,Spatial transcriptomic survey of human embryonic cerebral cortex by single-cell RNA-seq analysis,20180604,-,4213.0,Human,Brain,STRT-seq,GSE103723,,RNA-seq,"Cortex, Microglia",,"Sex, spatial region",22-23 weeks after gestation,29,Yes,Yes,No,Yes,Yes,,Manual with mouth pipette,,3.0,2018-06-04,2018,6,4,1404.3333333333333
93,Fan et al GResearch,10.1101/gr.228080.117,"Jean Fan, Hae-Ock Lee, Soohyun Lee, Da-eun Ryu, Semin Lee, Catherine Xue, Seok Jin Kim, Kihyun Kim, Nikolaos Barkas, Peter J. Park, Woong-Yang Park, Peter V. Kharchenko",Genome Res.,Linking transcriptional and genetic tumor heterogeneity through allele analysis of single-cell RNA-seq data,20180613,-,1511.0,Human,,Chromium & SMARTer (C1),GSE110499,,RNA-seq,multiple myeloma,,,,,,,,,No,,,,,2018-06-13,2018,6,13,
94,Guo et al NMedicine,10.1038/s41591-018-0045-3,"Xinyi Guo, Yuanyuan Zhang, Liangtao Zheng, Chunhong Zheng, Jintao Song, Qiming Zhang, Boxi Kang, Zhouzerui Liu, Liang Jin, Rui Xing, Ranran Gao, Lei Zhang, Minghui Dong, Xueda Hu, Xianwen Ren, Dennis Kirchhoff, Helge Gottfried Roider, Tiansheng Yan, Zemin Zhang",Nat Med,Global characterization of T cells in non-small-cell lung cancer by single-cell sequencing,20180622,,12346.0,Human,,,,,RNA-seq,T cells,Non-small-cell lung cancer,TCR,,,,,,,,,,,14.0,2018-06-22,2018,6,22,881.8571428571429
95,Xin et al Diabetes,10.2337/db18-0365,"Yurong Xin, Giselle Dominguez Gutierrez, Haruka Okamoto, Jinrang Kim, Ann-Hwee Lee, Christina Adler, Min Ni, George D. Yancopoulos, Andrew J. Murphy, Jesper Gromada",Diabetes,Pseudotime Ordering of Single Human β-Cells Reveals States of Insulin Production and Unfolded Protein Response,20180627,,6241.0,Human,Pancreas,Chromium,GSE114297,,RNA-seq,,,,,5,,Yes,,,Yes,,,,1.0,2018-06-27,2018,6,27,6241.0
96,Azizi et al Cell,10.1016/j.cell.2018.05.060,"Elham Azizi, Ambrose J. Carr, George Plitas, Andrew E. Cornish, Catherine Konopacki, Sandhya Prabhakaran, Juozas Nainys, Kenmin Wu, Vaidotas Kiseliovas, Manu Setty, Kristy Choi, Rachel M. Fromme, Phuong Dao, Peter T. McKenney, Ruby C. Wasti, Krishna Kadaveru, Linas Mazutis, Alexander Y. Rudensky, Dana Pe’er",Cell,Single-Cell Map of Diverse Immune Phenotypes in the Breast Tumor Microenvironment,20180628,10.1101/221994,72000.0,Human,"Blood, Breast, Lymph node, Tumor",Chromium,GSE114727,,RNA-seq,breast tumor immune cells,,TCR,,95,Yes,Yes,No,Yes,Yes,,,,8.0,2018-06-28,2018,6,28,9000.0
97,Lambrechts et al NMedicine,10.1038/s41591-018-0096-5 ,"Diether Lambrechts, Els Wauters, Bram Boeckx, Sara Aibar, David Nittner, Oliver Burton, Ayse Bassez, Herbert Decaluwé, Andreas Pircher, Kathleen Van den Eynde, Birgit Weynand, Erik Verbeken, Paul De Leyn, Adrian Liston, Johan Vansteenkiste, Peter Carmeliet, Stein Aerts, Bernard Thienpont",Nat Med,Phenotype molding of stromal cells in the lung tumor microenvironment,20180706,,52698.0,Human,Lung,Chromium,,,RNA-seq,,,,,52,,,,,,,,,5.0,2018-07-06,2018,7,6,10539.6
