,Shorthand,DOI,Number individuals,N_individulas sentence,chatgpt_sentence,Organism,Reported cells total,Tissue,Tissue_type,tissue_accessibility,Contrasts,excluded,Authors,Journal,Title,Publication date,bioRxiv DOI,Technique,Data location,Panel size,Measurement,Cell source,Disease,Developmental stage,Number of reported cell types or clusters,Cell clustering,Pseudotime,RNA Velocity,PCA,tSNE,H5AD location,Isolation,BC --> Cell ID _OR_ BC --> Cluster ID,DOI_oroginal,do_DOI_match,Shorthand_origina,do_shorthands_match,Number individuals original
45,Usoskin et al NNeuroscience,10.1038/nn.3881,,,,Mouse,799,Brain,,,,,"Dmitry Usoskin, Alessandro Furlan, Saiful Islam, Hind Abdo, Peter Lönnerberg, Daohua Lou, Jens Hjerling-Leffler, Jesper Haeggström, Olga Kharchenko, Peter V Kharchenko, Sten Linnarsson, Patrik Ernfors",Nat Neurosci,Unbiased classification of sensory neuron types by large-scale single-cell RNA sequencing,20141124,-,STRT-seq,GSE59739,,RNA-seq,Dorsal root ganglia,,6-8 week old,5,Yes,,,Yes,No,,,,10.1038/nn.3881,1,Usoskin et al NNeuroscience,1,
46,Romanov et al EMBOJounral,10.15252/embj.201488977,,,,Mouse,151,Brain,,,,,"R. A. Romanov, A. Alpar, M.-D. Zhang, A. Zeisel, A. Calas, M. Landry, M. Fuszard, S. L. Shirran, R. Schnell, A. Dobolyi, M. Olah, L. Spence, J. Mulder, H. Martens, M. Palkovits, M. Uhlen, H. H. Sitte, C. H. Botting, L. Wagner, S. Linnarsson, T. Hokfelt, T. Harkany",The EMBO Journal,A secretagogin locus of the mammalian hypothalamus controls stress hormone release,20141128,-,STRT-seq (C1),GSE63093,,RNA-seq,hypothalamic paraventricular nucleus,,,7,Yes,No,,No,No,,IFC Capture,,10.15252/embj.201488977,1,Romanov et al EMBOJounral,1,
47,Kumar et al Nature,10.1038/nature13920,,,,Mouse,415,Culture,,,,,"Roshan M. Kumar, Patrick Cahan, Alex K. Shalek, Rahul Satija, A. Jay DaleyKeyser, Hu Li, Jin Zhang, Keith Pardee, David Gennert, John J. Trombetta, Thomas C. Ferrante, Aviv Regev, George Q. Daley, James J. Collins",Nature,Deconstructing transcriptional heterogeneity in pluripotent stem cells,20141202,-,SMARTer (C1),GSE60749,,RNA-seq,mESCs,,,18,No,No,,Yes,No,,IFC Capture,,10.1038/nature13920,1,Kumar et al Nature,1,
48,Rossier et al MPsychiatry,10.1038/mp.2014.162,,,,Mouse,218,Brain,,,,,"J Rossier, A Bernard, J-H Cabungcal, Q Perrenoud, A Savoye, T Gallopin, M Hawrylycz, M Cuénod, K Do, A Urban, Ed S Lein",Mol Psychiatry,"Cortical fast-spiking parvalbumin interneurons enwrapped in the perineuronal net express the metallopeptidases Adamts8, Adamts15 and Neprilysin",20141216,,sc-RT-mPCR,,50,qPCR,Cerebral cortex,,21-27 days,6,Yes,No,No,Yes,No,,Patch-clamp,,10.1038/mp.2014.162,1,Rossier et al MPsychiatry,1,
49,Kim et al CSC,10.1016/j.stem.2014.11.005,,,,Mouse,95,Culture,,,,,"Daniel H. Kim, Georgi K. Marinov, Shirley Pepke, Zakary S. Singer, Peng He, Brian Williams, Gary P. Schroth, Michael B. Elowitz, Barbara J. Wold",Cell Stem Cell,Single-Cell Transcriptome Analysis Reveals Dynamic Changes in lncRNA Expression during Reprogramming,20150108,-,SMARTer,GSE55291,,RNA-seq,iPSCs,,,,,,,,,,,,10.1016/j.stem.2014.11.005,1,Kim et al CSC,1,
50,Buettner et al NBT,10.1038/nbt.3102,,,,Mouse,288,Culture,,,Cell cycle stages,,"Florian Buettner, Kedar N Natarajan, F Paolo Casale, Valentina Proserpio, Antonio Scialdone, Fabian J Theis, Sarah A Teichmann, John C Marioni, Oliver Stegle",Nat Biotechnol,Computational analysis of cell-to-cell heterogeneity in single-cell RNA-sequencing data reveals hidden subpopulations of cells,20150119,-,SMARTer (C1),E-MTAB-2805,,RNA-seq,mESCs,,,,,,,,,,IFC Capture,,10.1038/nbt.3102,1,Buettner et al NBT,1,
51,Dey et al NBT,10.1038/nbt.3129,,,,"Mouse, Human",34,Culture,,,,,"Siddharth S Dey, Lennart Kester, Bastiaan Spanjaard, Magda Bienko, Alexander van Oudenaarden",Nat Biotechnol,Integrated genome and transcriptome sequencing of the same cell,20150119,-,DR-Seq,GSE62952,,RNA-seq,E14 and SK-BR-3 cells,,E14,2,No,No,No,No,No,,,,10.1038/nbt.3129,1,Dey et al NBT,1,
52,Efroni et al GBiology,10.1186/s13059-015-0580-x,,,,Arabidopsis thaliana,71,Root,,,,,"Idan Efroni, Pui-Leng Ip, Tal Nawy, Alison Mello, Kenneth D Birnbaum",Genome Biol,Quantification of cell identity from single-cell gene expression profiles,20150121,-,CEL-seq,GSE46226,,RNA-seq,Root,,,3,,,,,,,,,10.1186/s13059-015-0580-x,1,Efroni et al GBiology,1,
53,Fan et al Science,10.1126/science.1258367,2,"For stimulation with antibodies to CD3 and CD28, T cells from the same two donors were isolated from whole blood using RosetteSep T cell enrichment cocktail and resuspended in RPMI-1640 with 10% FBS and 1x antibiotic-antimycotic. One sample of cells from each donor was incubated with Dynabeads Human T-Activator CD3/CD28 (Life Technologies) at ~1:1 bead-to-cell ratio at 37°C for 6 hours",,Human,"15,000","Blood, Culture",Blood,1,,,"H. Christina Fan, Glenn K. Fu, Stephen P. A. Fodor",Science,Combinatorial labeling of single cells for gene expression cytometry,05/02/2015,-,CytoSeq,,111,RNA-seq,"PBMCs, K563, Ramos",,,9,Yes,No,,Yes,No,,Picowell deposition,,10.1126/science.1258367,1,Fan et al Science,1,
54,Lindeman et al CBiology,10.1016/j.cub.2015.01.034,,,,Mouse,68,Ovary,,,,,"Robin E. Lindeman, Micah D. Gearhart, Anna Minkina, Anthony D. Krentz, Vivian J. Bardwell, David Zarkower",Current Biology,Sexual Cell-Fate Reprogramming in the Ovary by DMRT1,20150212,-,SMARTer (C1),GSE64960,,RNA-seq,Granulosa cells,,,,,,,,,,IFC Capture,,10.1016/j.cub.2015.01.034,1,Lindeman et al CBiology,1,
55,Zeisel et al,10.1126/science.aaa1934,,,,Mouse,"3,005",Brain,,,,,"A. Zeisel, A. B. Munoz-Manchado, S. Codeluppi, P. Lonnerberg, G. La Manno, A. Jureus, S. Marques, H. Munguba, L. He, C. Betsholtz, C. Rolny, G. Castelo-Branco, J. Hjerling-Leffler, S. Linnarsson",Science,Cell types in the mouse cortex and hippocampus revealed by single-cell RNA-seq,20150221,-,STRT-seq (C1),GSE60361,,RNA-seq,"Somatosensory cortex, hippocampus CA1",,Adult,47,Yes,No,,Yes,Yes,,IFC Capture,,10.1126/science.aaa1934,1,Zeisel et al,1,
56,Nakamura et al NAR,10.1093/nar/gkv134,,,,"Human, Mouse",98,Culture,,,,,"Tomonori Nakamura, Yukihiro Yabuta, Ikuhiro Okamoto, Shinya Aramaki, Shihori Yokobayashi, Kazuki Kurimoto, Kiyotoshi Sekiguchi, Masato Nakagawa, Takuya Yamamoto, Mitinori Saitou",Nucleic Acids Research,SC3-seq: a method for highly parallel and quantitative measurement of single-cell gene expression,20150227,-,SC3-seq,GSE63266,,RNA-seq,"Blastocyst cells, hiPSCs",,,,,,,,,,,,10.1093/nar/gkv134,1,Nakamura et al NAR,1,
57,Padovan-Merhar et al MCell,10.1016/j.molcel.2015.03.005,,,,Human,98,Culture,,,,,"Olivia Padovan-Merhar, Gautham P. Nair, Andrew G. Biaesch, Andreas Mayer, Steven Scarfone, Shawn W. Foley, Angela R. Wu, L. Stirling Churchman, Abhyudai Singh, Arjun Raj",Molecular Cell,Single Mammalian Cells Compensate for Differences in Cellular Volume and DNA Copy Number through Independent Global Transcriptional Mechanisms,20150411,-,SMARTer (C1),GSE66053,,RNA-seq,,,,,,,,,,,,,10.1016/j.molcel.2015.03.005,1,Padovan-Merhar et al MCell,1,
58,Satija et al NBT,10.1038/nbt.3192,,,,Zebrafish,851,Embryo,,,,,"Rahul Satija, Jeffrey A Farrell, David Gennert, Alexander F Schier, Aviv Regev",Nat Biotechnol,Spatial reconstruction of single-cell gene expression data,20150413,-,STRT-seq,GSE66688,,RNA-seq,,,,,,,,,,,,,10.1038/nbt.3192,1,Satija et al NBT,1,
59,Achim et al NBT,10.1038/nbt.3209,,,,Platynereis dumerilii,213,,,,,,"Kaia Achim, Jean-Baptiste Pettit, Luis R Saraiva, Daria Gavriouchkina, Tomas Larsson, Detlev Arendt, John C Marioni",Nat Biotechnol,High-throughput spatial mapping of single-cell RNA-seq data to tissue of origin,20150413,-,SMARTer (C1),E-MTAB-2865,,RNA-seq,,,,,,,,,,,,,10.1038/nbt.3209,1,Achim et al NBT,1,
60,Darmanis et al PNAS,10.1073/pnas.1507125112,12,We analyzed cortical tissue from eight adults and four embryonic samples ranging from 16 to 18 gestational weeks in age,,Human,466,Brain,Brain,3,,,"Spyros Darmanis, Steven A. Sloan, Ye Zhang, Martin Enge, Christine Caneda, Lawrence M. Shuer, Melanie G. Hayden Gephart, Ben A. Barres, Stephen R. Quake",Proc Natl Acad Sci USA,A survey of human brain transcriptome diversity at the single cell level,19/05/2015,-,SMARTer (C1),GSE67835,,RNA-seq,"Cerebral cortex, adult temporal lobe, neural cells",,"GW16 - GW18, 21Y, 22Y, 37Y, 47Y, 54Y, 63Y",10,Yes,No,,Yes,No,,IFC Capture,,10.1073/pnas.1507125112,1,Darmanis et al PNAS,1,
61,Luo et al Cell,10.1016/j.cell.2015.04.001,,,,Mouse,28,Mouse,,,,,"Yuping Luo, Volkan Coskun, Aibing Liang, Juehua Yu, Liming Cheng, Weihong Ge, Zhanping Shi, Kunshan Zhang, Chun Li, Yaru Cui, Haijun Lin, Dandan Luo, Junbang Wang, Connie Lin, Zachary Dai, Hongwen Zhu, Jun Zhang, Jie Liu, Hailiang Liu, Jean deVellis, Steve Horvath, Yi Eve Sun, Siguang Li",Cell,Single-Cell Transcriptome Analyses Reveal Signals to Activate Dormant Neural Stem Cells,20150521,,,GSE61288,,RNA-seq,,,,,,,,,,,,,10.1016/j.cell.2015.04.001,1,Luo et al Cell,1,
62,Klein et al Cell,10.1016/j.cell.2015.04.044,,,,"Human, Mouse","9,000",Culture,,,,,"Allon M. Klein, Linas Mazutis, Ilke Akartuna, Naren Tallapragada, Adrian Veres, Victor Li, Leonid Peshkin, David A. Weitz, Marc W. Kirschner",Cell,Droplet Barcoding for Single-Cell Transcriptomics Applied to Embryonic Stem Cells,20150521,-,InDrops,GSE65525,,RNA-seq,"mESCs, K562 cells",,,,,,,,,,Nanodroplet dilution,,10.1016/j.cell.2015.04.044,1,Klein et al Cell,1,
63,Macosko et al Cell,10.1016/j.cell.2015.05.002,,,,"Human, Mouse","44,808",Eye,,,,Doesn't contain single-cell data for human. Human only used to evaluate doublets,"Evan Z. Macosko, Anindita Basu, Rahul Satija, James Nemesh, Karthik Shekhar, Melissa Goldman, Itay Tirosh, Allison R. Bialas, Nolan Kamitaki, Emily M. Martersteck, John J. Trombetta, David A. Weitz, Joshua R. Sanes, Alex K. Shalek, Aviv Regev, Steven A. McCarroll",Cell,Highly Parallel Genome-wide Expression Profiling of Individual Cells Using Nanoliter Droplets,20150521,-,Drop-seq,GSE63473,,RNA-seq,Retina,,,39,Yes,No,No,Yes,Yes,,Nanodroplet dilution,SCP301,10.1016/j.cell.2015.05.002,1,Macosko et al Cell,1,
64,Wilson et al CSC,10.1016/j.stem.2015.04.004,,,,Mouse,92,Bone marrow,,,,,"Nicola K. Wilson, David G. Kent, Florian Buettner, Mona Shehata, Iain C. Macaulay, Fernando J. Calero-Nieto, Manuel Sánchez Castillo, Caroline A. Oedekoven, Evangelia Diamanti, Reiner Schulte, Chris P. Ponting, Thierry Voet, Carlos Caldas, John Stingl, Anthony R. Green, Fabian J. Theis, Berthold Göttgens",Cell Stem Cell,Combined Single-Cell Functional and Gene Expression Analysis Resolves Heterogeneity within Stem Cell Populations,20150521,-,Smart-seq2,GSE61533,,RNA-seq,HSC,,,,,,,,,,,,10.1016/j.stem.2015.04.004,1,Wilson et al CSC,1,
65,Rotem et al PLoSOne,10.1371/journal.pone.0116328,,,,"Human, Mouse","1,300","Culture, Skin",,,,"Uses data from cultures, not from donors","Assaf Rotem, Oren Ram, Noam Shoresh, Ralph A. Sperling, Michael Schnall-Levin, Huidan Zhang, Anindita Basu, Bradley E. Bernstein, David A. Weitz",PLoS ONE,High-Throughput Single-Cell Labeling (Hi-SCL) for RNA-Seq Using Drop-Based Microfluidics,20150522,,Hi-SCL,GSE62050,,RNA-seq,"mESCs, mEFs, K562",,,,,,,,,,,,10.1371/journal.pone.0116328,1,Rotem et al PLoSOne,1,
66,Waldhaus et al CReports,10.1016/j.celrep.2015.04.062,,,,Mouse,808,Ear,,,,,"Jörg Waldhaus, Robert Durruthy-Durruthy, Stefan Heller",Cell Reports,Quantitative High-Resolution Cellular Map of the Organ of Corti,20150529,,BioMark,,192,qPCR,Organ of corti (cochlea),,P2,,,,,,,,,,10.1016/j.celrep.2015.04.062,1,Waldhaus et al CReports,1,
67,Velten et al MSB,10.15252/msb.20156198,,,,Mouse,195,Culture,,,,,"L. Velten, S. Anders, A. Pekowska, A. I. Jarvelin, W. Huber, V. Pelechano, L. M. Steinmetz",Molecular Systems Biology,Single-cell polyadenylation site mapping reveals 3' isoform choice variability,20150604,-,BAT-Seq,GSE60768,,RNA-seq,mESCs,,,,,,,,,,,,10.15252/msb.20156198,1,Velten et al MSB,1,
68,Guo et al Cell,10.1016/j.cell.2015.05.015,15,"In total, we obtained RNA deep-sequencing data for 233 single PGCs from 15 embryos and 86 neighboring somatic cells from 13 of the embryos","Single-cell RNA sequencing data was analyzed from 15 embryos for human PGCs and neighboring somatic cells and 11 embryos for DNA methylomes of both male and female human gonadal PGCs and neighboring somatic cells. (Source: Cell, Volume 161, Issue 5, 4 June 2015, Pages 1437-1452)",Human,364,Gonad,Reproductive system,3,,,"Fan Guo, Liying Yan, Hongshan Guo, Lin Li, Boqiang Hu, Yangyu Zhao, Jun Yong, Yuqiong Hu, Xiaoye Wang, Yuan Wei, Wei Wang, Rong Li, Jie Yan, Xu Zhi, Yan Zhang, Hongyan Jin, Wenxin Zhang, Yu Hou, Ping Zhu, Jingyun Li, Ling Zhang, Sirui Liu, Yixin Ren, Xiaohui Zhu, Lu Wen, Yi Qin Gao, Fuchou Tang, Jie Qiao",Cell,The Transcriptome and DNA Methylome Landscapes of Human Primordial Germ Cells,04/06/2015,-,Tang,GSE63818,,RNA-seq,PGCs,,"GW4, GW7, GW8, GW10, GW11, GW17, GW19",,,,,,,,,,10.1016/j.cell.2015.05.015,1,Guo et al Cell,1,15
69,Schlitzer et al NImmunology,10.1038/ni.3200,,,,Mouse,251,,,,,,"Andreas Schlitzer, V Sivakamasundari, Jinmiao Chen, Hermi Rizal Bin Sumatoh, Jaring Schreuder, Josephine Lum, Benoit Malleret, Sanqian Zhang, Anis Larbi, Francesca Zolezzi, Laurent Renia, Michael Poidinger, Shalin Naik, Evan W Newell, Paul Robson, Florent Ginhoux",Nat Immunol,Identification of cDC1- and cDC2-committed DC progenitors reveals early lineage priming at the common DC progenitor stage in the bone marrow,20150609,-,SMARTer (C1),GSE60781,,RNA-seq,DCs,,,,,,,,,,,,10.1038/ni.3200,1,Schlitzer et al NImmunology,1,
70,Kim et al GBiology,10.1186/s13059-015-0692-3,2,"Participants in this study gave written informed consent for research and publication of the results. Surgical specimens were acquired from a 60-year-old male patient who underwent surgical resection of a 37-mm irregular primary lung lesion in the right middle lobe (LC-PT-45), and from a 57-year-old female patient who underwent surgical resection of a metachronous brain metastasis (LC-MBT-15)","Single-cell RNA sequencing data was analyzed for one lung adenocarcinoma patient tumor xenograft in this study. 

Source sentence: ""We isolated 34 patient-derived xenograft (PDX) tumor cells from a lung adenocarcinoma patient tumor xenograft.""",Human,77,"Lung, Tumor",Respiratory system,3,,,"Kyu-Tae Kim, Hye Won Lee, Hae-Ock Lee, Sang Cheol Kim, Yun Jee Seo, Woosung Chung, Hye Hyeon Eum, Do-Hyun Nam, Junhyong Kim, Kyeung Min Joo, Woong-Yang Park",Genome Biol,Single-cell mRNA sequencing identifies subclonal heterogeneity in anti-cancer drug responses of lung adenocarcinoma cells,18/06/2015,-,SMARTer (C1),GSE69405,,RNA-seq,,,,,,,,,,,,,10.1186/s13059-015-0692-3,1,Kim et al GBiology,1,
71,Dueck et al GB,10.1186/s13059-015-0683-4,,,,"Rat, Mouse",139,,,,,,"Hannah Dueck, Mugdha Khaladkar, Tae Kim, Jennifer Spaethling, Chantal Francis, Sangita Suresh, Stephen Fisher, Patrick Seale, Sheryl Beck, Tamas Bartfai, Bernhard Kuhn, James Eberwine, Junhyong Kim",Genome Biol,Deep sequencing reveals cell-type-specific patterns of single-cell transcriptome variation,20150618,-,aRNA amplification,GSE56638,,RNA-seq,,,,,,,,,,,,,10.1186/s13059-015-0683-4,1,Dueck et al GB,1,
72,Bose et al GB,10.1186/s13059-015-0684-3,,,,Human,400,Culture,,,,,"Sayantan Bose, Zhenmao Wan, Ambrose Carr, Abbas Rizvi, Gregory Vieira, Dana Pe’er, Peter Sims",Genome Biol,Scalable microfluidics for single-cell RNA printing and sequencing,20150618,-,Bose,GSE66357,,RNA-seq,U87 human glioma cells,,,,,,,,,,Picowell deposition,,10.1186/s13059-015-0684-3,1,Bose et al GB,1,
73,Rothwell et al BMCGenomics,10.1186/1471-2164-15-1129,,,,Human,10,Culture,,,,,"Dominic G Rothwell, Yaoyong Li, Mahmood Ayub, Catriona Tate, Gillian Newton, Yvonne Hey, Louise Carter, Suzanne Faulkner, Massimo Moro, Stuart Pepper, Crispin Miller, Fiona Blackhall, Giulia Bertolini, Luca Roz, Caroline Dive, Ged Brady",BMC Genomics,Evaluation and validation of a robust single cell RNA-amplification protocol through transcriptional profiling of enriched lung cancer initiating cells,20150618,-,Rothwell,GSE52716,,RNA-seq,Epithelial cell line,,,2,Yes,,,,,,,,10.1186/1471-2164-15-1129,1,Rothwell et al BMCGenomics,1,
74,Du et al Thorax,10.1136/thoraxjnl-2015-207035,,,,Mouse,148,Lung,,,,,"Yina Du, Minzhe Guo, Jeffrey A Whitsett, Yan Xu",Thorax,‘LungGENS’: a web-based tool for mapping single-cell gene expression in the developing lung: Figure 1,20150701,-,SMARTer (C1),GSE69761,,RNA-seq,,,E16.5,,,,,,,,,,10.1136/thoraxjnl-2015-207035,1,Du et al Thorax,1,
75,Scialdone et al Methods,10.1016/j.ymeth.2015.06.021,,,,Mouse,96,,,,,,"Antonio Scialdone, Kedar N. Natarajan, Luis R. Saraiva, Valentina Proserpio, Sarah A. Teichmann, Oliver Stegle, John C. Marioni, Florian Buettner",Methods,Computational assignment of cell-cycle stage from single-cell transcriptome data,20150704,-,SMARTer (C1),E-MTAB-3707,,RNA-seq,,,,,,,,,,,,,10.1016/j.ymeth.2015.06.021,1,Scialdone et al Methods,1,
76,Fan et al GBiology,10.1186/s13059-015-0706-1,,,,Mouse,118,,,,,,"Xiaoying Fan, Xiannian Zhang, Xinglong Wu, Hongshan Guo, Yuqiong Hu, Fuchou Tang, Yanyi Huang",Genome Biol,Single-cell RNA-seq transcriptome analysis of linear and circular RNAs in mouse preimplantation embryos,20150722,-,SUPeR-seq,GSE53386,,RNA-seq,,,,,,,,,,,,,10.1186/s13059-015-0706-1,1,Fan et al GBiology,1,
77,Llorens-Bobadilla et al CSC,10.1016/j.stem.2015.07.002,,,,Mouse,272,,,,,,"Enric Llorens-Bobadilla, Sheng Zhao, Avni Baser, Gonzalo Saiz-Castro, Klara Zwadlo, Ana Martin-Villalba",Cell Stem Cell,Single-Cell Transcriptomics Reveals a Population of Dormant Neural Stem Cells that Become Activated upon Brain Injury,20150730,-,Smart-seq2,GSE67833,,RNA-seq,,,,,,,,,,,,,10.1016/j.stem.2015.07.002,1,Llorens-Bobadilla et al CSC,1,
78,Brennecke et al NImmunology,10.1038/ni.3246,,,,"Human, Mouse",293,Thymus,,,,Human data only used for ATAC,"Philip Brennecke, Alejandro Reyes, Sheena Pinto, Kristin Rattay, Michelle Nguyen, Rita Küchler, Wolfgang Huber, Bruno Kyewski, Lars M Steinmetz",Nat Immunol,Single-cell transcriptome analysis reveals coordinated ectopic gene-expression patterns in medullary thymic epithelial cells,03/08/2015,-,Smart-seq2,E-MTAB-3346,,RNA-seq,mTECs,,,,No,No,No,,No,,,,10.1038/ni.3246,1,Brennecke et al NImmunology,1,
79,Meredith et al NImmunology,10.1038/ni.3247,,,,Mouse,200,,,,,,"Matthew Meredith, David Zemmour, Diane Mathis, Christophe Benoist",Nat Immunol,Aire controls gene expression in the thymic epithelium with ordered stochasticity,20150803,-,CEL-seq,GSE70798,,RNA-seq,,,,,,,,,,,,,10.1038/ni.3247,1,Meredith et al NImmunology,1,
80,Grun et al Nature,10.1038/nature14966,,,,Mouse,238,Culture,,,,,"Dominic Grün, Anna Lyubimova, Lennart Kester, Kay Wiebrands, Onur Basak, Nobuo Sasaki, Hans Clevers, Alexander van Oudenaarden",Nature,Single-cell messenger RNA sequencing reveals rare intestinal cell types,20150818,-,CEL-seq,GSE62270,,RNA-seq,Intestinal organoids,,,15,Yes,No,No,No,Yes,,,,10.1038/nature14966,1,Grun et al Nature,1,
81,Shin et al CSC,10.1016/j.stem.2015.07.013,,,,Mouse,173,,,,,,"Jaehoon Shin, Daniel A. Berg, Yunhua Zhu, Joseph Y. Shin, Juan Song, Michael A. Bonaguidi, Grigori Enikolopov, David W. Nauen, Kimberly M. Christian, Guo-li Ming, Hongjun Song",Cell Stem Cell,Single-Cell RNA-Seq with Waterfall Reveals Molecular Cascades underlying Adult Neurogenesis,20150820,-,SMARTer,GSE71485,,RNA-seq,,,,,,,,,,,,,10.1016/j.stem.2015.07.013,1,Shin et al CSC,1,
82,Leng et al NMethods,10.1038/nmeth.3549,,,,Human,460,Culture,,,H1 and H1-Fucci,,"Ning Leng, Li-Fang Chu, Chris Barry, Yuan Li, Jeea Choi, Xiaomao Li, Peng Jiang, Ron M Stewart, James A Thomson, Christina Kendziorski",Nat Methods,Oscope identifies oscillatory genes in unsynchronized single-cell RNA-seq experiments,20150824,-,SMARTer (C1),GSE64016,,RNA-seq,hESCs,,,,,,,,,,,,10.1038/nmeth.3549,1,Leng et al NMethods,1,
83,Tsang et al GBiology,10.1186/s13059-015-0739-5,,,,Mouse,288,,,,,,"Jason C. H. Tsang, Yong Yu, Shannon Burke, Florian Buettner, Cui Wang, Aleksandra A. Kolodziejczyk, Sarah A. Teichmann, Liming Lu, Pentao Liu",Genome Biol,Single-cell transcriptomic reconstruction reveals cell cycle and multi-lineage differentiation defects in Bcl11a-deficient hematopoietic stem cells,20150827,-,SMARTer (C1),ERP010829,,RNA-seq,HSCs,,,,,,,,,,,,10.1186/s13059-015-0739-5,1,Tsang et al GBiology,1,
84,Avraham et al Cell,10.1016/j.cell.2015.08.027,,,,Mouse,288,Culture,,,Bacteria exposure,,"Roi Avraham, Nathan Haseley, Douglas Brown, Cristina Penaranda, Humberto B. Jijon, John J. Trombetta, Rahul Satija, Alex K. Shalek, Ramnik J. Xavier, Aviv Regev, Deborah T. Hung",Cell,Pathogen Cell-to-Cell Variability Drives Heterogeneity in Host Immune Responses,20150904,-,SMARTer,GSE65528,,RNA-seq,Bone marrow derived macrophages (BMMs),,,,,,,,,,,,10.1016/j.cell.2015.08.027,1,Avraham et al Cell,1,
85,Töhönen et al NCommunications,10.1038/ncomms9207,133,"Figure 1. Oocyte (22 cells), Zygote (62 cells), Day 2 Embryo (51 cells from 15 embryos), Day 3 Embryo (208 cells from 34 embryos)","Single-cell RNA sequencing data was analyzed from donors who underwent infertility treatment and donated their embryos, including 131 oocytes or embryos, and a total of 348 cells were collected. (Source: the first, second, and sixth sentences of the given text)",Human,348,Embryo,Embryo,3,,,"Virpi Töhönen, Shintaro Katayama, Liselotte Vesterlund, Eeva-Mari Jouhilahti, Mona Sheikhi, Elo Madissoon, Giuditta Filippini-Cattaneo, Marisa Jaconi, Anna Johnsson, Thomas R. Bürglin, Sten Linnarsson, Outi Hovatta, Juha Kere",Nat Commun,Novel PRD-like homeodomain transcription factors and retrotransposon elements in early human development,11/09/2015,,STRT-seq,PRJEB8994,,RNA-seq,Preimplantation embryo,,"Oocyte, 4-cell, 8-cell",,,,,,,,,,10.1038/ncomms9207,1,Töhönen et al NCommunications,1,
